dt_sold,bedroom,bathroom,gar_car,oa_qual,liv_area,lot_area,house_style,kit_qual,heat_qual,central_air,sale_price
2007-04-13,2,1,2,6,948,10950,1Story,Average,Average,Y,125
2009-09-17,3,3,3,8,1718,10637,1Story,Good,Excellent,Y,297
2009-04-26,2,1,1,6,1142,9000,1Story,Average,Fair,Y,113.5
2006-07-27,4,2,1,5,1475,2665,2Story,Average,Excellent,Y,127
2010-01-16,3,2,2,6,1844,11751,1Story,Average,Excellent,Y,190
2007-09-27,3,1.5,2,7,1242,9600,1Story,Average,Fair,Y,175.5
2007-07-18,3,2,1,5,990,8428,1Story,Average,Excellent,Y,146
2008-06-25,3,2.5,1,5,1256,9937,1Story,Average,Good,Y,147.5
2006-09-28,2,3.5,3,10,2076,13891,1Story,Excellent,Excellent,Y,465
2009-07-19,1,2,2,5,1110,9101,SFoyer,Good,Excellent,Y,165.5
2008-11-22,4,2,1,5,1795,12150,1.5Fin,Average,Excellent,N,131.5
2008-02-22,3,2,1,5,1040,11200,1Story,Average,Excellent,Y,129.5
2008-06-05,4,1.5,2,8,1873,9670,2Story,Average,Average,Y,257.076
2009-07-03,3,2,2,5,1604,10998,1.5Fin,Average,Excellent,Y,117
2008-02-18,3,1.5,1,7,1502,7200,2Story,Average,Average,Y,149
2010-02-13,3,2,1,5,1063,9920,1Story,Average,Average,Y,128
2008-10-13,2,2.5,2,7,1626,2448,2Story,Good,Excellent,Y,155
2006-06-07,2,2.5,2,6,1524,2998,2Story,Good,Excellent,Y,166
2009-12-18,4,3,2,4,1981,7804,1.5Fin,Good,Average,Y,135
2006-07-11,5,4.5,2,7,2784,16692,2Story,Good,Average,Y,250
2010-02-11,2,3.5,2,7,1200,2544,2Story,Good,Excellent,Y,149.5
2006-03-02,2,1,1,5,936,9888,1Story,Average,Average,Y,121
2007-06-05,3,1.5,1,6,1040,7942,1Story,Average,Average,Y,136
2008-11-19,3,2.5,2,6,1636,15038,2Story,Average,Good,Y,173
2010-04-22,4,2.5,3,8,2270,11764,2Story,Good,Excellent,Y,290
2007-08-11,4,2.5,2,8,2610,9000,2Story,Excellent,Excellent,Y,303.477
2007-12-21,3,1,0,5,1120,8402,1Story,Average,Excellent,Y,147
2006-04-19,3,2,2,7,1708,3363,2Story,Good,Excellent,Y,130
2006-04-09,2,2,2,7,1506,3013,1Story,Good,Excellent,Y,213.49
2010-01-13,1,2,2,7,1508,17485,1Story,Good,Excellent,Y,308.03
2008-09-12,3,4,3,7,2032,23730,1Story,Good,Excellent,Y,300
2008-07-17,1,1,2,6,768,6291,1Story,Average,Average,Y,93.85
2008-05-09,1,1,1,4,520,6324,1Story,Fair,Fair,N,68.5
2007-09-06,3,2,0,5,1601,7288,1.5Fin,Average,Excellent,Y,129.85
2008-04-23,2,3,2,6,1189,4500,1Story,Average,Excellent,Y,160.5
2009-08-26,2,3,2,7,1200,10083,1Story,Good,Excellent,Y,184.9
2009-08-12,3,2.5,2,5,1336,9600,1Story,Average,Average,Y,163
2008-05-09,4,2.5,2,6,1427,11104,SLvl,Average,Good,Y,183
2009-10-12,3,3.5,2,7,1540,9109,2Story,Good,Excellent,Y,184
2009-06-18,4,2,2,5,1535,7018,1Story,Average,Average,Y,118.858
2007-02-15,2,3,2,8,1151,3523,1Story,Good,Excellent,Y,166
2009-03-05,3,1.5,2,6,1138,15312,SLvl,Average,Excellent,Y,148
2007-01-10,2,1,2,5,1074,7450,1Story,Good,Good,Y,124
2007-08-19,2,3,2,9,1561,7313,1Story,Excellent,Excellent,Y,277.5
2008-09-28,2,3,3,9,1884,15401,1Story,Excellent,Excellent,Y,387
2007-07-02,2,2,0,4,605,9098,1Story,Average,Excellent,Y,86
2009-09-06,2,1,0,3,797,9392,1Story,Average,Average,N,44
2007-08-26,5,2,1,6,2526,8520,1.5Fin,Good,Average,N,136
2006-10-26,1,2.5,2,6,1390,39384,1Story,Excellent,Excellent,Y,252
2010-06-21,2,2.5,2,7,1626,2628,2Story,Good,Excellent,Y,175.5
2009-10-11,3,1.5,2,5,1558,6406,2Story,Average,Average,Y,150
2010-02-19,3,1.5,2,6,1116,10000,1Story,Average,Average,Y,160
2009-05-19,3,2,2,6,1707,11088,1Story,Average,Good,Y,184
2006-11-02,3,1.5,2,5,1466,17755,1Story,Fair,Average,Y,149.9
2008-12-14,3,3,2,5,1721,10532,1Story,Average,Good,Y,145
2009-08-01,3,3.5,2,6,1764,15426,2Story,Good,Excellent,Y,231.5
2009-11-25,3,1.5,1,5,1202,8750,1Story,Average,Average,Y,120
2007-10-07,3,2,2,5,988,9945,1Story,Average,Average,Y,128.5
2006-10-11,3,2.5,2,8,1414,9056,2Story,Good,Excellent,Y,178
2006-05-12,3,1.5,3,7,1609,12320,2Story,Good,Excellent,Y,199.5
2006-05-16,3,3.5,2,6,1525,8238,2Story,Average,Excellent,Y,183.5
2008-09-26,2,2,2,7,1055,2529,1Story,Average,Fair,Y,148.5
2009-05-15,3,2.5,2,6,1456,2349,2Story,Average,Average,Y,137.9
2008-04-09,2,2,0,5,864,5604,1Story,Average,Average,N,98
2008-02-05,2,2,1,6,987,1680,2Story,Average,Average,Y,103.4
2010-05-27,2,1,0,5,1020,6342,1.5Fin,Average,Good,N,94
2006-09-19,5,3.5,3,10,3390,18062,2Story,Excellent,Excellent,Y,545.224
2010-05-04,3,1.5,0,6,1560,12900,2Story,Good,Excellent,Y,159.9
2007-11-19,3,1,1,6,1367,6240,1.5Fin,Average,Average,Y,127.5
2006-08-05,2,2,2,8,1204,3701,1Story,Average,Average,Y,130
2006-05-04,3,2,2,4,960,9873,1Story,Average,Average,N,129
2007-05-08,3,3.5,2,7,1873,8883,2Story,Good,Excellent,Y,207
2009-09-22,4,2,0,5,2128,3000,2Story,Average,Average,N,62.5
2008-10-25,2,3.5,2,7,1626,2448,2Story,Good,Excellent,Y,154
2008-08-05,2,1,1,7,1111,5700,1.5Fin,Average,Average,Y,116.9
2010-07-24,2,2,1,4,924,12180,1.5Fin,Fair,Fair,N,80
2008-03-06,2,2,2,5,1126,7400,SFoyer,Average,Average,Y,152
2007-02-19,3,1,2,6,1376,8850,1.5Fin,Good,Excellent,Y,165
2008-12-19,5,2,2,7,2495,10800,2Story,Average,Good,Y,184
2008-08-20,3,3.5,3,7,2418,10542,2Story,Good,Excellent,Y,341
2007-04-15,4,2.5,2,8,2872,10678,1.5Fin,Good,Excellent,Y,285
2006-03-27,3,4.5,3,9,2798,16023,2Story,Excellent,Excellent,Y,457.347
2007-05-06,0,2.5,2,8,1743,20064,1Story,Good,Excellent,Y,279
2009-05-17,2,3,2,6,1567,9819,1Story,Good,Average,Y,196
2006-08-26,2,3.5,3,8,1590,11645,1Story,Excellent,Excellent,Y,294.9
2009-02-14,2,2,3,7,1450,7328,1Story,Good,Excellent,Y,224.243
2007-11-04,4,3.5,3,6,2624,22420,2Story,Average,Average,N,239
2006-10-07,2,2,2,7,1557,3196,1Story,Good,Excellent,Y,234
2009-11-19,2,2.5,2,6,1287,9360,SFoyer,Average,Average,Y,173
2008-03-01,3,2,2,7,1162,9260,1Story,Good,Excellent,Y,170
2009-03-07,2,2,1,5,1031,7626,1Story,Good,Good,Y,145.5
2006-03-05,1,1,1,4,720,7008,1.5Fin,Fair,Excellent,Y,86.9
2009-02-09,2,2,2,6,1505,12160,1Story,Average,Excellent,Y,149.5
2006-08-21,3,2.5,2,6,1500,8846,2Story,Good,Excellent,Y,173.9
2006-01-28,3,2,1,5,1050,10659,1Story,Average,Average,Y,136.5
2006-12-04,4,2.5,2,8,2687,13108,2Story,Good,Excellent,Y,270
2008-03-15,1,2,2,6,1252,13500,1Story,Average,Good,Y,235
2009-03-23,3,2.5,2,7,1430,7750,SLvl,Average,Excellent,Y,156
2007-10-13,3,2,2,5,1355,6221,1.5Fin,Average,Excellent,Y,140
2008-10-10,1,2.5,3,9,1702,8769,1Story,Excellent,Excellent,Y,367.294
2008-08-21,3,3,2,6,1509,10200,SLvl,Good,Excellent,Y,175
2006-02-10,3,2,3,7,1717,9550,2Story,Good,Good,Y,140
2006-02-23,4,2,2,7,1671,8170,1.5Fin,Average,Excellent,Y,218
2008-04-02,2,3,2,7,1218,7500,1Story,Good,Excellent,Y,230.348
2006-09-06,3,2.5,2,6,1625,23580,1Story,Fair,Average,Y,242.5
2007-03-02,1,1,1,2,845,11067,1.5Fin,Average,Excellent,Y,68.104
2009-12-17,2,1,0,4,708,5330,1Story,Fair,Good,Y,82.5
2009-01-07,3,2,2,6,1586,17043,1Story,Average,Average,Y,181
2007-03-09,3,2,2,5,882,7700,1Story,Average,Average,Y,112.5
2007-02-27,3,2,2,6,1522,11075,1Story,Average,Excellent,Y,182
2008-11-01,2,4,4,7,1344,7060,SFoyer,Average,Excellent,Y,206.3
2009-11-04,2,2,1,4,988,1596,SLvl,Average,Average,Y,91
2008-01-06,4,2,1,5,1955,9000,1.5Fin,Average,Good,Y,165.5
2007-03-11,3,2,NA,5,1828,9060,2Story,Good,Excellent,Y,150.909
2006-12-03,3,1.5,1,4,1092,1533,2Story,Average,Average,Y,87.55
2007-12-17,3,1.5,1,5,887,10447,1Story,Average,Average,Y,124.5
2007-11-11,3,2,2,5,1250,5362,1.5Fin,Average,Excellent,Y,139
2007-01-18,3,3.5,2,6,1868,12090,SLvl,Average,Excellent,Y,178
2007-12-22,3,3.5,3,8,1880,12217,2Story,Excellent,Excellent,Y,310.013
2007-10-12,2,1.5,2,8,1088,3696,1Story,Good,Excellent,Y,170
2006-11-10,4,1,1,5,1288,6191,1.5Fin,Average,Average,N,112
2006-11-03,3,2,2,6,1246,12700,SLvl,Average,Average,Y,172
2009-02-20,3,3,3,9,1698,13286,1Story,Excellent,Excellent,Y,320
2009-01-09,1,1,1,2,438,8400,1Story,Fair,Average,N,60
2007-01-07,1,2.5,2,8,2234,14082,1Story,Good,Excellent,Y,441.929
2008-01-25,4,3.5,3,8,2649,16900,2Story,Good,Excellent,Y,421.25
2009-12-02,3,2.5,2,6,1593,9636,2Story,Average,Good,Y,178
2009-01-04,3,1.5,2,6,1344,14375,SLvl,Good,Good,Y,137.5
2008-01-03,2,3,2,9,1709,5119,1Story,Good,Excellent,Y,328.9
2006-12-21,3,1.5,2,6,1336,9610,1Story,Average,Excellent,Y,162
2010-07-14,3,2,0,4,1092,5600,2Story,Fair,Fair,N,55
2006-01-11,3,1.5,0,6,1142,7733,1Story,Good,Excellent,Y,139.5
2010-07-04,3,2,1,5,1056,8450,1Story,Average,Excellent,Y,142
